symbol,trailingPE,trailingEps,returnOnEquity,profitMargins,dividendYield
ATVI,33.41453,2.34,0.09793,0.22817,
ADBE,34.392178,10.48,0.33859003,0.26318002,
ADP,27.583866,7.81,0.82691,0.18462,0.0234
ABNB,36.203884,3.09,,0.0,
ALGN,72.80893,4.03,0.08817001,0.08505,
GOOGL,26.35837,4.66,0.22757,0.20584999,
GOOG,26.62069,4.64,0.22757,0.20584999,
AMZN,268.52274,0.44,0.029760001,0.00818,
AMD,513.9524,0.21,0.0071799997,0.01712,
AEP,22.503897,3.85,,0.0,0.0381
AMGN,15.233016,14.72,2.52778,0.30229,0.0379
ADI,29.130302,6.6,0.09275,0.27267,0.0183
ANSS,47.953125,6.4,0.12100001,0.25738,
AAPL,29.619291,5.91,1.4560499,0.24493,0.0056
AMAT,17.438927,7.45,0.50968,0.24569,0.010199999
ASML,36.938957,18.84,0.74042,0.28233,0.0148
AZN,49.145695,1.51,0.1305,0.10732,0.0194
TEAM,,-2.36,-1.3850999,-0.18270999,
ADSK,53.76378,3.81,0.82548,0.16444,
BKR,,-0.12,-0.00492,-0.0044,0.0272
BIIB,14.476304,21.1,0.25038,0.30986,
BKNG,27.139456,102.47,1.4775101,0.22143,
AVGO,22.863407,29.65,0.55274,0.37188,0.027999999
CDNS,68.188675,3.18,0.30009001,0.23235,
CHTR,11.221749,30.62,0.39125,0.089449994,
CTAS,38.142166,12.38,0.37425998,0.15062,0.0098
CSCO,17.655678,2.73,0.2774,0.20893998,0.0328
CTSH,14.200892,4.48,0.1873,0.11883,0.0185
CMCSA,30.828358,1.34,0.05797,0.047080003,0.028900001
CEG,,-0.52,-0.015579999,-0.00643,0.014099999
CPRT,39.80631,2.22,0.23256999,0.29451,
CSGP,84.815216,0.92,0.057550002,0.16316,
COST,36.59809,13.61,0.28428,0.02582,0.0082
CRWD,,-0.84,-0.14438,-0.08176,
CSX,16.034653,2.02,0.3364,0.28351,0.0137
DDOG,,-0.28,-0.06389,-0.04682,
DXCM,172.50725,0.69,0.13227999,0.09677,
FANG,5.3330574,24.14,0.30058,0.50081,0.0712
DLTR,22.285713,7.21,0.19615999,0.05702,
EBAY,43.683167,1.01,0.10192,0.06506,0.0222
EA,34.11081,3.7,,0.0,0.0061000003
ENPH,47.731777,3.43,0.75693,0.18826,
EXC,18.068806,2.18,0.09235,0.11608,0.0353
FAST,28.474226,1.94,0.34694,0.15589,0.025799999
FISV,32.042667,3.75,0.07848,0.13358,
FTNT,56.31405,1.21,7.89861,0.20457001,
GILD,17.69457,4.42,0.27111,0.20645,0.0381
GFS,19.961405,2.85,0.16325001,0.19016,
HON,25.746754,7.7,0.28655002,0.14535,0.021
IDXX,59.427536,8.28,0.94426,0.20378,
ILMN,,-27.51,-0.51023,-1.00877,
INTC,,-0.7,-0.02814,-0.050640002,0.0168
INTU,66.02655,6.78,0.1238,0.14220999,0.0073
ISRG,84.84511,3.68,0.11392,0.20402001,
JD,20.340908,1.76,,0.0,0.0166
KDP,34.641304,0.92,0.05204,0.09196,0.0247
KLAC,17.457027,24.55,1.03768,0.33008,0.0125
KHC,19.852041,1.96,0.04887,0.08998,0.041100003
LRCX,16.45342,36.39,0.68136,0.26077,0.0125
LCID,,-1.62,-0.53682,-2.8612602,
LULU,57.119156,6.63,0.29031,0.10539,
MAR,21.174267,8.55,2.86402,0.40431,0.0119
MRVL,,-0.2,-0.01043,-0.02762,0.0055
MELI,109.94142,12.12,0.34058997,0.05456,
META,30.10366,8.2,0.17292,0.18274,
MCHP,19.822784,3.95,0.36068,0.26517,0.020299999
MU,47.584507,1.42,0.03388,0.06985,0.0070999996
MSFT,34.50921,9.23,0.38601002,0.33248,0.0087
MRNA,11.081344,11.31,0.26624,0.31768,
MDLZ,26.923346,2.87,0.13999,0.11986,0.0198
MNST,48.658535,1.23,0.18158,0.19947,
NFLX,39.88077,9.31,0.21333,0.13161,
NVDA,181.01714,1.75,0.17934,0.16193001,0.00059999997
NXPI,17.068998,10.29,0.3718,0.20811,0.024600001
ORLY,27.979797,33.66,,0.14895001,
ODFL,25.85907,11.85,0.37585998,0.21957001,0.0052
PCAR,12.325301,5.81,0.24169001,0.10204001,0.0137
PANW,2371.5,0.08,0.08101,0.00557,
PAYX,26.20723,4.15,0.44961,0.30544,0.0332
PYPL,26.296139,2.33,0.13371,0.09635,
PDD,19.432177,3.17,0.32701,0.24156,
PEP,40.243694,4.76,0.37464002,0.07475,0.026300002
QCOM,11.402985,9.38,0.64361,0.25667998,0.0305
REGN,20.350666,36.73,0.19271,0.33813,
RIVN,,-7.35,-0.41984,-2.92626,
ROST,24.059359,4.38,0.36222,0.08088,0.0128999995
SGEN,,-3.38,-0.22670001,-0.31549,
SIRI,12.517242,0.29,,0.12687999,0.026700001
SBUX,34.76948,3.08,,0.10456,0.0201
SNPS,67.05564,6.11,0.16871001,0.1822,
TMUS,46.059998,3.0,0.055760004,0.048270002,
TSLA,49.82817,3.55,0.27991,0.13658,
TXN,19.058361,8.91,0.56431997,0.42334,0.03
VRSK,46.156902,4.78,0.544,0.2014,0.0062
VRTX,27.643322,12.28,0.25728,0.35401002,
WBA,,-3.7,-0.11564,-0.02359,0.059899997
WBD,,-4.86,-0.28767002,-0.2151,
WDAY,,-1.49,-0.07247,-0.059,
XEL,20.77918,3.17,0.109,0.11343,0.0306
ZM,193.13887,0.36,0.0173,0.023610001,
ZS,,-2.36,-0.60799,-0.24084999,
