symbol,trailingPE,trailingEps,returnOnEquity,profitMargins,dividendYield
ADBE,34.392178,10.48,0.33859003,0.26318002,
ADP,27.583866,7.81,0.82691,0.18462,0.0234
GOOGL,26.35837,4.66,0.22757,0.20584999,
GOOG,26.62069,4.64,0.22757,0.20584999,
AMGN,15.233016,14.72,2.52778,0.30229,0.0379
AAPL,29.619291,5.91,1.4560499,0.24493,0.0056
AMAT,17.438927,7.45,0.50968,0.24569,0.010199999
ASML,36.938957,18.84,0.74042,0.28233,0.0148
ADSK,53.76378,3.81,0.82548,0.16444,
BIIB,14.476304,21.1,0.25038,0.30986,
BKNG,27.139456,102.47,1.4775101,0.22143,
AVGO,22.863407,29.65,0.55274,0.37188,0.027999999
CTAS,38.142166,12.38,0.37425998,0.15062,0.0098
FANG,5.3330574,24.14,0.30058,0.50081,0.0712
GILD,17.69457,4.42,0.27111,0.20645,0.0381
HON,25.746754,7.7,0.28655002,0.14535,0.021
IDXX,59.427536,8.28,0.94426,0.20378,
KLAC,17.457027,24.55,1.03768,0.33008,0.0125
LRCX,16.45342,36.39,0.68136,0.26077,0.0125
MAR,21.174267,8.55,2.86402,0.40431,0.0119
MCHP,19.822784,3.95,0.36068,0.26517,0.020299999
MSFT,34.50921,9.23,0.38601002,0.33248,0.0087
MRNA,11.081344,11.31,0.26624,0.31768,
NXPI,17.068998,10.29,0.3718,0.20811,0.024600001
ODFL,25.85907,11.85,0.37585998,0.21957001,0.0052
PAYX,26.20723,4.15,0.44961,0.30544,0.0332
QCOM,11.402985,9.38,0.64361,0.25667998,0.0305
TXN,19.058361,8.91,0.56431997,0.42334,0.03
VRSK,46.156902,4.78,0.544,0.2014,0.0062
VRTX,27.643322,12.28,0.25728,0.35401002,
